date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1912-06-29,Sweden,Netherlands,3,4,0,1,1485.319000262478,1505.4094884116942
1912-06-29,Finland,Italy,3,2,1,1,1500.0,1500.0
1912-06-29,Austria,Germany,5,1,1,1,1500.0,1500.0
1912-06-30,Finland,Russia,2,1,1,1,1510.0,1500.0
1912-06-30,Denmark,Norway,7,0,1,1,1514.5283320418382,1500.0
1912-06-30,Netherlands,Austria,3,1,1,1,1516.2682330581017,1510.0
1912-06-30,England,Hungary,7,0,1,1,1675.6489076302873,1500.0
1912-07-01,Austria,Norway,1,0,1,1,1500.1803946780096,1490.4179154534613
1912-07-01,Germany,Russia,16,0,1,1,1490.0,1490.28774368332
1912-07-01,Sweden,Italy,0,1,0,1,1474.4602556160705,1490.0
1912-07-02,England,Finland,4,0,1,1,1680.984136192936,1519.71225631668
1912-07-02,Denmark,Netherlands,4,1,1,1,1524.110416588377,1526.087838380092
1912-07-03,Hungary,Germany,3,1,1,1,1494.6647714373514,1500.0082819270542
1912-07-03,Austria,Italy,5,1,1,1,1509.8994818651652,1500.9886061785062
1912-07-04,England,Denmark,4,2,1,1,1686.6493052631613,1534.1673307480917
1912-07-04,Netherlands,Finland,9,0,1,1,1516.0309242203773,1514.0470872464546
1912-07-05,Hungary,Austria,3,0,1,1,1504.8185579069611,1519.6430624676864
1912-08-15,Uruguay,Argentina,2,0,0,1,1494.3370567457898,1523.9789214811697
1912-08-25,Uruguay,Argentina,3,0,0,1,1503.7517722010143,1514.5642060259452
1912-09-22,Argentina,Uruguay,0,1,0,1,1505.6873560581193,1512.6286221688401
1912-10-06,Argentina,Uruguay,3,3,0,1,1494.454332448164,1523.8616457787955
1912-12-01,Uruguay,Argentina,1,3,0,1,1524.453657862973,1493.8623203639866
1913-01-18,Ireland,Wales,0,1,0,1,1342.9344965861844,1399.1330545409392
1913-02-04,Philippines,China,2,1,0,1,1500.0,1500.0
1913-02-15,Ireland,England,2,1,0,1,1333.1128864988948,1692.5221620604636
1913-03-03,Wales,Scotland,0,0,0,1,1408.9546646282288,1596.4517092487333
1913-03-15,Ireland,Scotland,1,2,0,1,1350.229546622388,1592.6886574070381
1913-03-17,England,Wales,4,3,0,1,1675.4055019369705,1412.717716469924
1913-04-05,England,Scotland,1,0,0,1,1678.242582678507,1597.6539702673438
1913-08-15,Argentina,Uruguay,4,0,0,1,1506.1411991730263,1512.1747790539332
1913-08-31,Argentina,Uruguay,2,0,0,1,1514.8824557923756,1503.433522434584
1913-09-28,Argentina,Uruguay,4,0,0,1,1523.1320270673943,1495.1839511595651
1913-10-05,Uruguay,Argentina,1,0,0,1,1487.3905779228462,1530.9254003041133
1913-10-26,Uruguay,Argentina,1,0,0,1,1497.204516627934,1521.1114615990255
1914-01-19,Wales,Ireland,1,2,0,1,1409.8806357283875,1345.2642337620823
1914-02-14,England,Ireland,0,3,0,1,1684.6514784835028,1358.4484757713885
1914-02-28,Scotland,Wales,0,0,0,1,1591.245074462348,1396.6963937190812
1914-03-14,Ireland,Scotland,1,1,0,1,1376.3908244416268,1585.1769043459233
1914-03-16,Wales,England,0,2,0,1,1402.764563835506,1666.7091298132646
1914-04-04,Scotland,England,3,1,0,1,1580.9003560179463,1671.2272862177238
1914-08-30,Uruguay,Argentina,3,2,0,1,1506.454906942146,1511.8610712848135
1914-09-13,Argentina,Uruguay,2,1,0,1,1503.137582953348,1515.1783952736114
1914-09-27,Argentina,Brazil,0,1,0,1,1512.049356220157,1500.0
1915-05-17,China,Philippines,1,0,0,1,1491.4292623481676,1508.5707376518324
1915-05-18,China,Philippines,0,0,0,1,1500.4863276135525,1499.5136723864475
1915-05-20,China,Philippines,1,1,0,1,1499.029652922325,1500.970347077675
1915-07-18,Uruguay,Argentina,2,3,0,1,1506.2666220068024,1500.2821805257713
1915-08-15,Argentina,Uruguay,2,1,0,1,1511.8797393548634,1494.6690631777103
1915-09-12,Uruguay,Argentina,2,0,0,1,1486.5797670201662,1519.9690355124076
1916-07-02,Uruguay,Chile,4,0,1,1,1496.1020356719305,1481.6840217730405
1916-07-06,Argentina,Chile,6,1,0,1,1510.4467668606433,1472.0987675187666
1916-07-08,Brazil,Chile,1,1,1,1,1511.7671756943857,1464.588200524261
1916-07-10,Argentina,Brazil,1,1,0,1,1517.9573338551488,1510.4175409688487
1916-07-12,Uruguay,Brazil,2,1,1,1,1505.6872899262044,1512.0586924115978
1916-07-17,Argentina,Uruguay,0,0,0,1,1516.3161824123997,1515.870653076715
1916-08-15,Argentina,Uruguay,3,1,0,1,1514.8743609623868,1517.3124745267278
1916-08-15,Uruguay,Argentina,1,2,0,1,1508.6729279604535,1523.513907528661
1916-10-01,Uruguay,Argentina,0,1,0,1,1497.6644102634064,1534.5224252257083
1916-10-01,Argentina,Uruguay,7,2,0,1,1544.900501663473,1487.2863338256416
1916-10-29,Uruguay,Argentina,3,1,0,1,1480.2883254038318,1551.8985100852829
1917-05-09,Japan,China,0,5,0,1,1500.0,1497.6551503348085
1917-05-10,Japan,Philippines,2,15,0,1,1488.5046908492145,1502.3448496651915
1917-05-11,China,Philippines,3,0,1,1,1509.150459485594,1513.3818719517824
1917-07-18,Uruguay,Argentina,0,2,0,1,1490.9095156518322,1541.2773198372824
1917-08-15,Argentina,Uruguay,1,0,0,1,1551.266733585805,1480.9201019033096
1917-09-02,Uruguay,Argentina,1,0,0,1,1474.25176277489,1557.9350727142246
1917-09-30,Uruguay,Chile,4,0,0,1,1485.2182203557802,1465.9378352497981
1917-10-03,Argentina,Brazil,4,2,1,1,1546.9686151333344,1501.8753292610872
1917-10-06,Argentina,Chile,1,0,1,1,1555.6779649797113,1457.9058693588556
1917-10-07,Uruguay,Brazil,4,0,0,1,1493.2501862467227,1493.1659794147104
1917-10-12,Brazil,Chile,5,0,1,1,1484.5976158375865,1450.6479715959179
1917-10-14,Uruguay,Argentina,1,0,0,1,1501.8185498238465,1562.935862742649
1918-07-18,Uruguay,Argentina,1,1,0,1,1512.138422647844,1552.6159899186516
1918-07-28,Uruguay,Argentina,3,1,0,1,1511.8644136093114,1552.8899989571842
1918-08-15,Argentina,Uruguay,0,0,0,1,1543.1482459420545,1521.6061666244411
